Demographics Split,US Ranking,University Name,School Name,Program Name,Program Category,Certificate,City,State,Length in Days (put average number of days if different lengths are listed),Modality,Location,Total Cost (if cost per credit is not listed. Put the latest cost),Total Online Format Cost (if cost per credit is not listed and online vs in person cost is different),Target Demographics (keep consistencies as much as possible),Unique Value
DIRECTORS,4,Columbia University,Columbia Business School,Leading Digital Transformation,Strategy / Innovation / Technology / Analytics,Yes,New York,NY,4,In person,"Manhattanville Campus, NYC",9950,,"C-SUITE EXECUTIVES, DIRECTORS OF STRATEGY, HEADS OF DIGITAL TRANSFORMATION, CHANGE MANAGEMENT EXECUTIVES",155
DIRECTORS,10,UC Los Angeles,Anderson,Corporate Governance Program,Governance,,Los Angeles,CA,20,Online,Online,,8500,"DIRECTORS WITH ALL LEVELS OF EXPERIENCE, CORPORATE SECRETARIES , GENERAL COUNSEL",189
DIRECTORS,9,UC Berkeley,Hass,Berkeley Technology Leadership Program,TMI,Yes,Berkeley,CA,120,Online,Online,,7200,"MID- TO SENIOR-LEVEL MANAGERS , EXECUTIVES, C-SUITE LEADERS , DIRECTORS",224
DIRECTORS,9,UC Berkeley,Hass,Data Science: Bridging Principles and Practice,Strategy and management,Yes,Berkeley,CA,200,Online,Online,,2536,"DIRECTORS, CEOS, CTOS, CIOS, VICE PRESIDENTS, PRESIDENTS, FOUNDERS, , GENERAL MANAGER",226
DIRECTORS,9,UC Berkeley,Hass,Senior Management and Innovation,Entrepreneurship and Innovation,Yes,Berkeley,CA,365,Hybrid,"Berkeley,CA",26000,,"CXOS, DIRECTORS, PRESIDENTS, VICE PRESIDENTS, SENIOR MANAGERS , OTHER BUSINESS LEADERS IN VARIOUS BUSINESS FUNCTIONS",223
DIRECTORS,10,UC Los Angeles,Anderson,Leading High Performing Teams Program,"Leadership, Management",No,Los Angeles,CA,3,Online,Online,,,"DIRECTORS, MANAGERS , PROJECT MANAGERS FROM MAJOR CORPORATIONS TO GROWTH-PHASE STARTUPS",187
DIRECTORS,7,University of Michigan--Ann Arbor,Ross,"Diversity, Equity and Inclusion for Teams and Organizations",Management,,Ann Arbor,MI,25,Online,Online,,2500,"BUSINESS UNIT, GENERAL, REGIONAL MANAGERS, DIRECTORS, OTHER MANAGER,LEADER TITLES",171
DIRECTORS,7,University of Michigan--Ann Arbor,Ross,Chief Technology Officer Program,Focused Programs Courses,,Ann Arbor,MI,160,Hybrid,"Ann Arbor,MI",28001,,"CXOS, DIRECTORS, PRESIDENTS, VPS, ETC.",178
DIRECTORS,7,University of Michigan--Ann Arbor,Ross,Digital Transformation and Innovation,Management,,Ann Arbor,MI,25,Online,Online,,2500,"BUSINESS UNIT, GENERAL, REGIONAL MANAGERS, DIRECTORS, OTHER MANAGER,LEADER TITLES",170
DIRECTORS,7,University of Michigan--Ann Arbor,Ross,Chief Operating Officer Program,Focused Programs Courses,,Ann Arbor,MI,160,Hybrid,"Ann Arbor,MI",28000,,"CXOS, DIRECTORS, PRESIDENTS, VPS, ETC.",177
DIRECTORS,9,UC Berkeley,Hass,THE BERKELEY EXECUTIVE PROGRAM IN MANAGEMENT,"Leadership and Communication, Strategy and management",Yes,Berkeley,CA,365,Hybrid,"India and Berkeley,CA",33000,,"CXO’S, DIRECTORS, PRESIDENTS, VP’S, ETC",199
DIRECTORS,12,Cornell University,SC Johnson,HR ANALYTICSCertificate,DATA SCIENCE & ANALYTICS,Yes,Ithaca,NY,40,Online,Online,,3900,"HR ASSOCIATES, MANAGERS , DIRECTORS, ANALYSTS, CHROS , VPS OF HR",274
DIRECTORS,9,UC Berkeley,Hass,Advanced Executive Presence,Leadership and Communication,Yes,Berkeley,CA,3,In person,"Berkeley,CA",5540,,"SENIOR EXECUTIVES, DIRECTORS, VICE PRESIDENTS, C-SUITE EXECUTIVES, , SENIOR MANAGERS",197
DIRECTORS,12,Cornell University,SC Johnson,FINANCIAL SUCCESS FOR NONPROFITSCertificate,"ENVIRONMENTAL, SOCIAL, GOVERNANCE",Yes,Ithaca,NY,40,Online,Online,,2600,"CEOS , EXECUTIVE DIRECTORS, LEADERS, ADMINISTRATORS, , NEW BOARD MEMBERS, DECISION-MAKING PROGRAM STAFF",295
DIRECTORS,2,Northwestern University,Kellogg School of Management,Advanced Marketing Management,Marketing / Analytics,,Evanston,IL,5,In person,"Evanston, IL",11100,,MARKETING DIRECTORS,43
DIRECTORS,7,University of Michigan--Ann Arbor,Ross,Practicing Positive Leadership,Leadership,,Ann Arbor,MI,20,Online,Online,,1900,"SENIOR LEVEL DIRECTORS, SENIOR LEADER",164
DIRECTORS,12,Cornell University,SC Johnson,SUSTAINABLE BUSINESSCertificate,"ENVIRONMENTAL, SOCIAL, GOVERNANCE",Yes,Ithaca,NY,50,Online,Online,,3900,"MID- TO SENIOR-LEVEL MANAGERS, BR, MANAGERS, SUSTAINABILITY DIRECTORS, SUPPLY CHAIN MANAGEMENT PROFESSIONALS, GRADUATE STUDENTS",280
BOARD MEMBERS,12,Cornell University,SC Johnson,CORPORATE GOVERNANCECertificate,"ENVIRONMENTAL, SOCIAL, GOVERNANCE",Yes,Ithaca,NY,40,Online,Online,,3900,"EXECUTIVES, BOARD MEMBERS, FOUNDERS , ENTREPRENEURS, ACCOUNTANTS, AUDITORS, INVESTMENT BANKERS, PROFESSIONALS",292
BOARD MEMBERS,12,Cornell University,SC Johnson,FINANCIAL SUCCESS FOR NONPROFITSCertificate,"ENVIRONMENTAL, SOCIAL, GOVERNANCE",Yes,Ithaca,NY,40,Online,Online,,2600,"CEOS , EXECUTIVE DIRECTORS, LEADERS, ADMINISTRATORS, , NEW BOARD MEMBERS, DECISION-MAKING PROGRAM STAFF",295
PORTFOLIO MANAGERS,4,Columbia University,Columbia Business School,Python for Managers,Strategy / Innovation / Technology / Analytics,Yes,New York,NY,56,Online,Online,,1950,"PRODUCT MANAGERS, RISK MANAGERS, PROJECT MANAGERS, MANAGEMENT CONSULTANTS, ENTREPRENEURS, PORTFOLIO MANAGERS, HIGH FREQUENCY TRADERS",153
PORTFOLIO MANAGERS,3,University of Chicago (Booth),Booth School of Business,Portfolio Management,Finance / Accounting,Yes,Chicago,IL,4.5,In person,"Chicago, Hong Kong, London",10500,,PORTFOLIO MANAGERS,69
NON-FINANCE PROFESSIONALS,9,UC Berkeley,Hass,Financial Data Analysis for Leaders,Finance,Yes,Berkeley,CA,5,In person / Online,"Berkeley,CA",7500,5750,"SENIOR-LEVEL EXECUTIVES, NON-FINANCE PROFESSIONALS, FINANCIAL EXECUTIVES",230
DOBES,14,Dartmouth College,Tuck,Growing an Established Diverse Business,DIVERSITY & INCLUSION,No,Hanover,NH,7,In person,Tuck School of Business,5700,,"MBES, WBES, DOBES, , OTHER UNDERREPRESENTED ENTREPRENEURS",327
DOBES,14,Dartmouth College,Tuck,Building a Successful Diverse Business,DIVERSITY & INCLUSION,No,Hanover,NH,7,In person,Tuck School of Business,5700,,"MBES, WBES, DOBES, , OTHER UNDERREPRESENTED ENTREPRENEURS",326
CO-FOUNDERS OF ORGANIZATIONS,4,Columbia University,Columbia Business School,Sales Team Management Strategies,Marketing / Analytics,Yes,New York,NY,,Online,Online,,2600,"VPS OF SALES, SENIOR SALES MANAGERS, OTHER SALES LEADERS, VPS OF MARKETING , SALES, HEADS OF PRODUCT MARKETING, OTHER MARKETING LEADERS, ENTREPRENEURS, FOUNDERS,CO-FOUNDERS OF ORGANIZATIONS, SALES CONSULTANTS, BUSINESS DEVELOPMENT CONSULTANTS, TECHNICAL SALES CONSULTANTS",142
CONTRACT ADMINISTRATORS,12,Cornell University,SC Johnson,EMPLOYMENT LAW FOR LEADERSCertificate,"ENVIRONMENTAL, SOCIAL, GOVERNANCE",Yes,Ithaca,NY,50,Online,Online,,3900,"BUSINESS, COMPLIANCE, , RISK MANAGEMENT PROFESSIONALS, CONTRACT ADMINISTRATORS",290
CORPORATE SECRETARIES,10,UC Los Angeles,Anderson,Corporate Governance Program,Governance,,Los Angeles,CA,20,Online,Online,,8500,"DIRECTORS WITH ALL LEVELS OF EXPERIENCE, CORPORATE SECRETARIES , GENERAL COUNSEL",189
ARCHITECTS,12,Cornell University,SC Johnson,SUSTAINABLE PRESERVATIONCertificate,"ENVIRONMENTAL, SOCIAL, GOVERNANCE",Yes,Ithaca,NY,60,Online,Online,,3750,"ARCHITECTS, STRUCTURAL,CIVIL ENGINEERS, HISTORIC PRESERVATION PLANNERS, MUNICIPAL PLANNERS, PRIVATE SECTOR PLANNERS, REAL ESTATE DEVELOPERS, ENVIRONMENTAL PROFESSIONALS",283
ENTREPRENEURS,9,UC Berkeley,Hass,NextGen Directors,Leadership and Communication,Yes,Berkeley,CA,2,In person,"Berkeley,CA",7500,,"C SUITE , SENIOR EXECUTIVES OF PRIVATE , PUBLIC COMPANIES, ANY ENTREPRENEUR, LEADER, OR PROFESSIONAL",208
ENTREPRENEURS,4,Columbia University,Columbia Business School,Digital Transformation in Healthcare,Strategy / Innovation / Technology / Analytics,Yes,New York,NY,,Online,Online,,2800,"C-SUITE EXECUTIVE, SENIOR MANAGEMENT, ENTREPRENEUR OR VENTURE CAPITALIST",159
ENTREPRENEURS,7,University of Michigan--Ann Arbor,Ross,Analytical Thinking,Management,,Ann Arbor,MI,30,Online,Online,,2500,"DIRECTOR, SENIOR-MANAGER, ENTREPRENEUR",169
ENTREPRENEURS,7,University of Michigan--Ann Arbor,Ross,Strategic Decision Making,Management,,Ann Arbor,MI,30,Online,Online,,2500,"DIRECTOR, SENIOR-MANAGER, ENTREPRENEUR, LEADERS",174
ENTREPRENEURS,10,UC Los Angeles,Anderson,Women's Leadership Institute,"Leadership, Management",No,Los Angeles,CA,30,Online,Online,5250,5250,"MID- TO SENIOR-LEVEL LEADERS, TYPICALLY WITH FIVE OR MORE YEARS OF EXPERIENCE MANAGING PEOPLE ,,OR PROJECTS IN A CORPORATE, PUBLIC-SECTOR, ENTREPRENEURIAL, OR NONPROFIT ENVIRONMENT",185
ENTREPRENEURS,9,UC Berkeley,Hass,Venture Capital Executive Program,Entrepreneurship and Innovation,Yes,Berkeley,CA,5,In person,"Berkeley,CA",9499,,"ENTREPRENEURS SEEKING VENTURE CAPITAL EDUCATION, ANGEL INVESTORS OR ASPIRING VENTURE CAPITAL INVESTORS, EXECUTIVES LEADING CORPORATE M&A, ASSET MANAGERS",225
ENTREPRENEURS,13,Arizona State University,W.P. Carey,Getting Started in Your Small Business,Business,No,Tempe,AZ,1,Online,Online,,275,ENTREPRENEURS,321
ENTREPRENEURS,9,UC Berkeley,Hass,"Future of Technology: Trends, Strategies, and Innovation Opportunities",Strategy and management,Yes,Berkeley,CA,40,Online,Online,,2600,"TECHNOLOGY LEADERS, SENIOR BUSINESS LEADERS, CONSULTANTS, ENTREPRENEURS, , BUSINESS PROFESSIONALS",227
ENTREPRENEURS,13,Arizona State University,W.P. Carey,Developing Your Business Model/Business Plan,Business,Yes,Tempe,AZ,1,Online,Online,,275,ENTREPRENEURS,318
ENTREPRENEURS,12,Cornell University,SC Johnson,BUSINESS ETHICSCertificate,"ENVIRONMENTAL, SOCIAL, GOVERNANCE",Yes,Ithaca,NY,40,Online,Online,,3900,"BUSINESS MANAGERS , LEADERS, FOUNDERS , ENTREPRENEURS, PROFESSIONALS",289
ENTREPRENEURS,4,Columbia University,Columbia Business School,Customer Experience Strategy,Marketing / Analytics,Yes,New York,NY,,Online,Online,,2600,"MID-LEVEL TO SENIOR MANAGERS, PRODUCT PROFESSIONALS, MARKETERS, ENTREPRENEURS",140
ENTREPRENEURS,10,UC Los Angeles,Anderson,Executive Program,"Leadership, Management",No,Los Angeles,CA,90,Hybrid,"Los Angeles, CA",23000,,"RISING MANAGERS, EXECUTIVES, ENTREPRENEURS , PROFESSIONALS",184
ENTREPRENEURS,7,University of Michigan--Ann Arbor,Ross,People Driven Thinking,Management,,Ann Arbor,MI,30,Online,Online,,2500,"FUTURE GENERAL MANAGERS, TECHNICAL EXPERTS, ENTREPRENEURS, PROFESSIONALS",173
ENTREPRENEURS,12,Cornell University,SC Johnson,WEB DESIGN AND DEVELOPMENT,Marketing,Yes,Ithaca,NY,60,Online,Online,,3750,"ASPIRING WEB DEVELOPERS, WEB DESIGNERS, , UX DESIGNERS, BACKEND PROGRAMMERS WHO NEED FRONT-END SKILLS TO BECOME FULL-STACK DEVELOPERS, ENTREPRENEURS",252
ENTREPRENEURS,12,Cornell University,SC Johnson,Digital Marketing Certificate,Marketing,Yes,Ithaca,NY,40,Online,Online,,3699,"MARKETING MANAGERS, PRODUCT MANAGERS, ENTREPRENEURS, PROFESSIONALS",232
ENTREPRENEURS,12,Cornell University,SC Johnson,CORPORATE SUSTAINABILITYCertificate,"ENVIRONMENTAL, SOCIAL, GOVERNANCE",Yes,Ithaca,NY,50,Online,Online,,3900,"SENIOR LEADERS , EXECUTIVES, LEGAL PROFESSIONALS, PHILANTHROPISTS, ENTREPRENEURS, COMMUNICATIONS EXPERTS, COMMUNITY ACTIVISTS",281
ENTREPRENEURS,12,Cornell University,SC Johnson,INTEGRATED MARKETING 360,Marketing,Yes,Ithaca,NY,160,Online,Online,,7999,"MAKETING , SALES, ENTREPRENEURS, LEADERS, PRODUCT MANAGEMENT",245
ENTREPRENEURS,12,Cornell University,SC Johnson,MARKETING STRATEGY,Marketing,Yes,Ithaca,NY,70,Online,Online,,3750,"MARKETING MANAGERS, PRODUCT MANAGERS, ENTREPRENEURS, PROFESSIONALS",234
ENTREPRENEURS,4,Columbia University,Columbia Business School,Business Analytics,Strategy / Innovation / Technology / Analytics,Yes,New York,NY,51,Online,Online,,1950,"MID- TO SENIOR-LEVEL PROFESSIONALS, MANAGERS , TEAM LEADERS, BUSINESS PROFESSIONALS , ENTREPRENEURS",154
ENTREPRENEURS,9,UC Berkeley,Hass,Leading Complex Projects,Strategy and management,Yes,Berkeley,CA,40,Online,Online,,2600,"SKILLED PMP-CERTIFIED PROJECT MANAGERS, MID- TO SENIOR-LEVEL MANAGERS, ENTREPRENEURS , CONSULTANTS",228
ENTREPRENEURS,13,Arizona State University,W.P. Carey,Foundations of Service Excellence,Service,Yes,Tempe,AZ,1,Online,Online,,299,ENTREPRENEURS,320
ENTREPRENEURS,4,Columbia University,Columbia Business School,Python for Managers,Strategy / Innovation / Technology / Analytics,Yes,New York,NY,56,Online,Online,,1950,"PRODUCT MANAGERS, RISK MANAGERS, PROJECT MANAGERS, MANAGEMENT CONSULTANTS, ENTREPRENEURS, PORTFOLIO MANAGERS, HIGH FREQUENCY TRADERS",153
ENTREPRENEURS,7,University of Michigan--Ann Arbor,Ross,Value-Driven Thinking,Focused Programs Courses,,Ann Arbor,MI,25,Online,Online,,2500,"DIRECTOR, SENIOR-MANAGER, ENTREPRENEURS, PROFESSIONALS",180
ENTREPRENEURS,12,Cornell University,SC Johnson,SOCIAL MEDIA MARKETING,Marketing,Yes,Ithaca,NY,60,Online,Online,,3750,"CONTENT MARKETERS, SOCIAL MEDIA MANAGERS, MARKETING CHANNEL MANAGERS, PRODUCT MANAGERS, ENTREPRENEURS, ACCOUNT EXECUTIVES, BR, MARKETERS, MARKETING COMMUNICATIONS SPECIALISTS, COPYWRITERS, MARKETING CONSULTANTS",236
ENTREPRENEURS,13,Arizona State University,W.P. Carey,"Launch, Grow, and Harvest Your Small Business",Business,No,Tempe,AZ,1,Online,Online,,275,ENTREPRENEURS,322
ENTREPRENEURS,13,Arizona State University,W.P. Carey,Evaluating the Opportunity for Your Small Business,Business,No,Tempe,AZ,1,Online,Online,,275,ENTREPRENEURS,319
ENTREPRENEURS,4,Columbia University,Columbia Business School,Sales Team Management Strategies,Marketing / Analytics,Yes,New York,NY,,Online,Online,,2600,"VPS OF SALES, SENIOR SALES MANAGERS, OTHER SALES LEADERS, VPS OF MARKETING , SALES, HEADS OF PRODUCT MARKETING, OTHER MARKETING LEADERS, ENTREPRENEURS, FOUNDERS,CO-FOUNDERS OF ORGANIZATIONS, SALES CONSULTANTS, BUSINESS DEVELOPMENT CONSULTANTS, TECHNICAL SALES CONSULTANTS",142
ENTREPRENEURS,12,Cornell University,SC Johnson,MARKETING AI,Marketing,Yes,Ithaca,NY,40,Online,Online,,3699,"MARKETING MANAGERS, PRODUCT MANAGERS, ENTREPRENEURS,CMOS, ANALYSS, BR, MANAGERS, CONTENT",249
ENTREPRENEURS,12,Cornell University,SC Johnson,CONSUMER BEHAVIOR,Marketing,Yes,Ithaca,NY,60,Online,Online,,3750,"MARKETING MANAGERS, PRODUCT MANAGERS, ENTREPRENEURS, ENGINEERS, TECH LEADERS, UX , WEB DECELOPERS, ENTREPRENEURS",247
ENTREPRENEURS,12,Cornell University,SC Johnson,CONSUMER BEHAVIOR,Marketing,Yes,Ithaca,NY,60,Online,Online,,3750,"MARKETING MANAGERS, PRODUCT MANAGERS, ENTREPRENEURS, ENGINEERS, TECH LEADERS, UX , WEB DECELOPERS, ENTREPRENEURS",247
ENTREPRENEURS,9,UC Berkeley,Hass,Communications Excellence,Leadership and Communication,Yes,Berkeley,CA,2,In person,"Berkeley,CA",4000,,"SENIOR LEADERSHIP EXECUTIVES , HIGH-POTENTIAL PROFESSIONALS IN BUSINESS DEVELOPMENT, SALES, , MARKETING TEAMS, WEB DEVELOPERS,ENGINEERS,ENTREPRENEURS,PROFESSIONALS",202
ENTREPRENEURS,12,Cornell University,SC Johnson,CORPORATE GOVERNANCECertificate,"ENVIRONMENTAL, SOCIAL, GOVERNANCE",Yes,Ithaca,NY,40,Online,Online,,3900,"EXECUTIVES, BOARD MEMBERS, FOUNDERS , ENTREPRENEURS, ACCOUNTANTS, AUDITORS, INVESTMENT BANKERS, PROFESSIONALS",292
ENTREPRENEURS,12,Cornell University,SC Johnson,BUSINESS STATISTICS Certificate,DATA SCIENCE & ANALYTICS,Yes,Ithaca,NY,80,Online,Online,,3900,"NEW, EMERGING, , EXPERIENCED LEADERS, CONSULTANTS, ANALYSTS , RESEARCHERS, ENTREPRENEURS",270
ENTREPRENEURS,9,UC Berkeley,Hass,The Berkeley Executive Leadership Program,"Leadership and Communication, Strategy and management",Yes,Berkeley,CA,5,In person,"Berkeley,CA",9900,,"EXECUTIVES , SENIOR LEADERS INCLUDING CEOS , OTHER C-SUITE LEADERSHIP,FOUNDERS , ENTREPRENEURS",210
ENTREPRENEURS,12,Cornell University,SC Johnson,PRODUCT MARKETING,Marketing,Yes,Ithaca,NY,40,Online,Online,,2999,"MARKETERS, PRODUCT MANAGERS, BUSINESS EXECS, CONSULTANTS, ENTREPRENEURS",248
ENTREPRENEURS,12,Cornell University,SC Johnson,CORPORATE COMMUNICATION,Marketing,Yes,Ithaca,NY,40,Online,Online,,3750,"COMMUNICATION MANAGERS, PR PRO,EXECUTIVES, ENTREPRENEUS, MID LEVEL MANAGERS, HR",242
ENTREPRENEURS,12,Cornell University,SC Johnson,PR STRATEGY,Marketing,Yes,Ithaca,NY,50,Online,Online,,3750,"COMMUNICATION MANAGERS, PR PRO,EXECUTIVES, ENTREPRENEUS, MANAGERS",241
ENTREPRENEURS,14,Dartmouth College,Tuck,Building a Successful Diverse Business,DIVERSITY & INCLUSION,No,Hanover,NH,7,In person,Tuck School of Business,5700,,"MBES, WBES, DOBES, , OTHER UNDERREPRESENTED ENTREPRENEURS",326
ENTREPRENEURS,14,Dartmouth College,Tuck,Growing an Established Diverse Business,DIVERSITY & INCLUSION,No,Hanover,NH,7,In person,Tuck School of Business,5700,,"MBES, WBES, DOBES, , OTHER UNDERREPRESENTED ENTREPRENEURS",327
ENTREPRENEURS,4,Columbia University,Columbia Business School,Mastering Customer Insights (Online),Strategy / Innovation / Technology / Analytics,Yes,New York,NY,49,Online,Online,,1950,"MID- TO SENIOR LEVEL PROFESSIONALS, BUSINESS , PRODUCT LEADERS OR ENTREPRENEURS, MARKET RESEARCH PROFESSIONALS",147
ENTREPRENEURS,7,University of Michigan--Ann Arbor,Ross,Ascending to the C-Suite: From Theory to Practice,Leadership,,Ann Arbor,MI,4,In person,"Plymouth,MI",8900,,"ATLEAST 15 YEAR EXPERIENCE, SUCCESSOR TO C-SUITE, WOMEN ENTREPRENEURS",160
RISK MANAGEMENT PROFESSIONALS,12,Cornell University,SC Johnson,EMPLOYMENT LAW FOR LEADERSCertificate,"ENVIRONMENTAL, SOCIAL, GOVERNANCE",Yes,Ithaca,NY,50,Online,Online,,3900,"BUSINESS, COMPLIANCE, , RISK MANAGEMENT PROFESSIONALS, CONTRACT ADMINISTRATORS",290
RISK MANAGEMENT PROFESSIONALS,7,University of Michigan--Ann Arbor,Ross,Sustainable Leadership in the ESG Era,Leadership,,Ann Arbor,MI,4,In person,"Ann Arbor,MI",9500,,"EXECUTIVE , SENIOR LEADERS, INVESTORS, ESG,CSR MANAGERS, ADVISORS",166
RISK MANAGEMENT PROFESSIONALS,4,Columbia University,Columbia Business School,Python for Managers,Strategy / Innovation / Technology / Analytics,Yes,New York,NY,56,Online,Online,,1950,"PRODUCT MANAGERS, RISK MANAGERS, PROJECT MANAGERS, MANAGEMENT CONSULTANTS, ENTREPRENEURS, PORTFOLIO MANAGERS, HIGH FREQUENCY TRADERS",153
RISK MANAGEMENT PROFESSIONALS,12,Cornell University,SC Johnson,CLIMATE CHANGE LEADERSHIPCourse,"ENVIRONMENTAL, SOCIAL, GOVERNANCE",,Ithaca,NY,80,Online,Online,,,"ORGANIZATIONAL DECISION MAKERS, MANAGERS, RISK , SUPPLY CHAIN MANAGERS, ACTIVISTS",296
CORPORATE MEMBERS,14,Dartmouth College,Tuck,Supplier Diversity Professional Excellence Program,DIVERSITY & INCLUSION,No,Hanover,NH,3,In person,Tuck School of Business,12500,,"CORPORATE MEMBERS, , LARGE MBES CONTEMPLATING STARTING A DIVERSE BUSINESS PROGRAM OF THEIR OWN",329
CXOS,9,UC Berkeley,Hass,THE BERKELEY EXECUTIVE PROGRAM IN MANAGEMENT,"Leadership and Communication, Strategy and management",Yes,Berkeley,CA,365,Hybrid,"India and Berkeley,CA",33000,,"CXO’S, DIRECTORS, PRESIDENTS, VP’S, ETC",199
CXOS,9,UC Berkeley,Hass,"Berkeley Fintech: Frameworks, Applications, and Strategies",Entrepreneurship and Innovation,Yes,Berkeley,CA,40,Online,Online,,2314,"MID- TO SENIOR-LEVEL MANAGERS, CXOS OF FINTECH STARTUPS,CONSULTANTS",218
CXOS,7,University of Michigan--Ann Arbor,Ross,Chief Technology Officer Program,Focused Programs Courses,,Ann Arbor,MI,160,Hybrid,"Ann Arbor,MI",28001,,"CXOS, DIRECTORS, PRESIDENTS, VPS, ETC.",178
CXOS,7,University of Michigan--Ann Arbor,Ross,Chief Operating Officer Program,Focused Programs Courses,,Ann Arbor,MI,160,Hybrid,"Ann Arbor,MI",28000,,"CXOS, DIRECTORS, PRESIDENTS, VPS, ETC.",177
CXOS,2,Northwestern University,Kellogg School of Management,Maximizing Sales Force Performance,Marketing / Analytics,,Evanston,IL,5,In person,"Evanston, IL",10450,,CXOS,50
CXOS,9,UC Berkeley,Hass,Senior Management and Innovation,Entrepreneurship and Innovation,Yes,Berkeley,CA,365,Hybrid,"Berkeley,CA",26000,,"CXOS, DIRECTORS, PRESIDENTS, VICE PRESIDENTS, SENIOR MANAGERS , OTHER BUSINESS LEADERS IN VARIOUS BUSINESS FUNCTIONS",223
STATISTICIANS,12,Cornell University,SC Johnson,MACHINE LEARNING Certificate,DATA SCIENCE & ANALYTICS,Yes,Ithaca,NY,70,Online,Online,,3750,"PROGRAMMERS, DEVELOPERS, DATA ANALYSTS, STATISTICIANS, DATA SCIENTISTS",268
STATISTICIANS,12,Cornell University,SC Johnson,DATA ETHICS Certificate,DATA SCIENCE & ANALYTICS,Yes,Ithaca,NY,40,Online,Online,,2999,"DATA MANAGERS , DEVELOPERS, ETHICS OFFICER, STATISTICIANS, ANALYST, LAWYERS, SOFTWARE DEVELOPERS , PROGRAMMERS",258
OFFICIALS,12,Cornell University,SC Johnson,LABOR RELATIONSCertificate,"ENVIRONMENTAL, SOCIAL, GOVERNANCE",Yes,Ithaca,NY,60,Online,Online,,3900,"UNION STAFF, STEWARDS , OFFICIALS, HR , OPERATIONS MANAGERS, ATTORNEYS , GENERAL COUNSEL",291
COPY EDITORS,12,Cornell University,SC Johnson,CONTENT WRITING,Marketing,Yes,Ithaca,NY,60,Online,Online,,3750,"COPYWRITERS , COPY EDITORS, MARKETERS, WRITERS, SOCIAL MEDIA , CONTENT DEVELOPERS",237
HEALTHCARE PROFESSIONALS,12,Cornell University,SC Johnson,STATISTICAL FOUNDATIONSCertificate,DATA SCIENCE & ANALYTICS,Yes,Ithaca,NY,40,Online,Online,,3600,"HEALTHCARE PROFESSIONALS, PROFESSIONALS FROM ANY BUSINESS FUNCTION, GOVERNMENT WORKERS, BUSINESS MANAGERS",272
GROUP MANAGER,7,University of Michigan--Ann Arbor,Ross,The Positive Leader: Deep Change and Organizational Transformation,Change Management,,Ann Arbor,MI,6,In person,"Ann Arbor,MI",11500,,"DIRECTOR, VP, SENIOR MANAGER, GROUP MANAGER",167
CMOS,9,UC Berkeley,Hass,Corporate Business Model Innovation,Entrepreneurship and Innovation,Yes,Berkeley,CA,3,In person,"Berkeley,CA",5250,,"CHIEF MARKETING OFFICERS (CMOS),BUSINESS STRATEGY , R&D PROFESSIONALS,CORPORATE INNOVATORS",215
CMOS,12,Cornell University,SC Johnson,GROWTH MARKETING,Marketing,Yes,Ithaca,NY,40,Online,Online,,3699,"CMO, MARKETERS, BUSINESS LEADERS,BR, MANAGERS,SOCIAL MEDIA MANAGERS, MARKETING ANALYST",235
CMOS,12,Cornell University,SC Johnson,MARKETING AI,Marketing,Yes,Ithaca,NY,40,Online,Online,,3699,"MARKETING MANAGERS, PRODUCT MANAGERS, ENTREPRENEURS,CMOS, ANALYSS, BR, MANAGERS, CONTENT",249
CMOS,12,Cornell University,SC Johnson,DATA PRIVACY STRATEGY,Marketing,Yes,Ithaca,NY,40,Online,Online,,2500,"CMOS, CIOS, CTOS, WEB DEVELOPERS, MARKETING, BR, , PRODUCT MANAGERS,TECH LEADERS, DATA SCIENTIST, CONSULTANT",250
PR PRO,12,Cornell University,SC Johnson,CORPORATE COMMUNICATION,Marketing,Yes,Ithaca,NY,40,Online,Online,,3750,"COMMUNICATION MANAGERS, PR PRO,EXECUTIVES, ENTREPRENEUS, MID LEVEL MANAGERS, HR",242
PR PRO,12,Cornell University,SC Johnson,PR STRATEGY,Marketing,Yes,Ithaca,NY,50,Online,Online,,3750,"COMMUNICATION MANAGERS, PR PRO,EXECUTIVES, ENTREPRENEUS, MANAGERS",241
C-LEVEL EXECUTIVES,2,Northwestern University,Kellogg School of Management,Delivering Business Growth,Marketing / Analytics,,Evanston,IL,4,In person,"Evanston, IL",9000,,C-LEVEL EXECUTIVES,45
C-LEVEL EXECUTIVES,7,University of Michigan--Ann Arbor,Ross,Advanced Human Resource Executive Program,HR leadership,,Ann Arbor,MI,12,In person,"Ann Arbor,MI",25800,,"EXECUTIVE DIRECTOR OF HR,C-LEVEL , SENIOR HR , TALENT EXECUTIVES",175
STRATEGISTS,15,Emory University,Goizueta,LEVERAGING AIFOR BUSINESS,DATA SCIENCE & ANALYTICS,Yes,Atlanta,GA,3,In person,Goizueta,2495,,"LEADERS, MANAGERS, SMALL TEAMS, STRATEGIC DECISION MAKERS",334
STRATEGISTS,13,Arizona State University,W.P. Carey,Strategic Service Institute,Strategy and management,Yes,Tempe,AZ,3,In person,"McCord Hall, Tempe campus",,,"SERVICE FOUNDATIONS , STRATEGIC SERVICES LEADERSHIP",301
